row,decimal,bitstring,accuracy,normalized_time,active_features,penalized_fitness
2043,2043,0000011111111011,0.94892708,0.04735760,10,0.74845350
2044,2044,0000011111111100,0.91427604,0.12539456,9,0.73302209
2045,2045,0000011111111101,0.93451042,0.02398987,10,0.73427052
2046,2046,0000011111111110,0.94525521,0.03936154,10,0.74486160
2047,2047,0000011111111111,0.95633334,0.69934656,11,0.72933987
2048,2048,0000100000000000,0.04830208,0.40106154,1,0.02429147
2049,2049,0000100000000001,0.10334375,0.04406154,2,0.06290313
2050,2050,0000100000000010,0.15015104,0.13496432,2,0.10880140
2051,2051,0000100000000011,0.24961458,0.10984802,3,0.18851610
2052,2052,0000100000000100,0.14665625,0.00971302,2,0.10655912
2053,2053,0000100000000101,0.25663542,0.01373576,3,0.19649806
2054,2054,0000100000000110,0.34179688,0.14092794,3,0.28038760
2055,2055,0000100000000111,0.46153646,0.88655529,4,0.37267091
2056,2056,0000100000001000,0.15076562,0.00867152,2,0.11067891
2057,2057,0000100000001001,0.25623438,0.02959645,3,0.19593841
2058,2058,0000100000001010,0.34588542,0.18473452,3,0.28403807
2059,2059,0000100000001011,0.46923958,0.03332364,4,0.38890635
2060,2060,0000100000001100,0.35140104,0.05293277,3,0.29087172
2061,2061,0000100000001101,0.46498958,0.03436369,4,0.38464595
2062,2062,0000100000001110,0.54491667,0.06514064,4,0.46426526
2063,2063,0000100000001111,0.64152604,0.50853068,5,0.53644073
2064,2064,0000100000010000,0.14781771,0.15473789,2,0.10627033
2065,2065,0000100000010001,0.25474479,0.03958415,3,0.19434895
2066,2066,0000100000010010,0.32933854,0.00968024,3,0.26924174
2067,2067,0000100000010011,0.44713021,0.01075735,4,0.36702263
2068,2068,0000100000010100,0.33504687,0.04539307,3,0.27459294
2069,2069,0000100000010101,0.44602083,0.01068232,4,0.36591401
2070,2070,0000100000010110,0.54313021,0.00973351,4,0.46303287
2071,2071,0000100000010111,0.62673437,0.01390257,5,0.52659535
2072,2072,0000100000011000,0.31736979,0.04232466,3,0.25694655
2073,2073,0000100000011001,0.44505729,0.01221692,4,0.36493512
2074,2074,0000100000011010,0.54302604,0.03359658,4,0.46269008
2075,2075,0000100000011011,0.64429166,0.12474930,5,0.54304417
2076,2076,0000100000011100,0.52838542,0.01075674,4,0.44827785
2077,2077,0000100000011101,0.62600521,0.04153924,5,0.52558982
2078,2078,0000100000011110,0.69267187,0.02830712,5,0.59238880
2079,2079,0000100000011111,0.75745834,0.49442693,6,0.63251407
2080,2080,0000100000100000,0.15680208,0.03638294,2,0.11643825
2081,2081,0000100000100001,0.27210417,0.02054653,3,0.21189870
2082,2082,0000100000100010,0.33142188,0.02242767,3,0.27119760
2083,2083,0000100000100011,0.47186979,0.03029692,4,0.39156682
2084,2084,0000100000100100,0.30000000,0.01466247,3,0.23985338
2085,2085,0000100000100101,0.43685938,0.12558414,4,0.35560353
2086,2086,0000100000100110,0.49785416,0.01166920,4,0.41773747
2087,2087,0000100000100111,0.61355729,0.04193825,5,0.51313791
2088,2088,0000100000101000,0.35328646,0.02858151,3,0.29300064
2089,2089,0000100000101001,0.49154687,0.12435586,4,0.41030332
2090,2090,0000100000101010,0.55041146,0.03815162,4,0.47002994
2091,2091,0000100000101011,0.65943750,0.03938389,5,0.55904366
2092,2092,0000100000101100,0.48484896,0.01388108,4,0.40471015
2093,2093,0000100000101101,0.59966667,0.01237891,5,0.49954288
2094,2094,0000100000101110,0.65153646,0.01268103,5,0.55140965
2095,2095,0000100000101111,0.73339584,0.04256043,6,0.61297023
2096,2096,0000100000110000,0.34731771,0.03996927,3,0.28691802
2097,2097,0000100000110001,0.46554688,0.01460314,4,0.38540085
2098,2098,0000100000110010,0.53903645,0.00994980,4,0.45893695
2099,2099,0000100000110011,0.63960417,0.01237492,5,0.53948042
2100,2100,0000100000110100,0.48025521,0.01020820,4,0.40015313
2101,2101,0000100000110101,0.58408333,0.03845982,5,0.48369874
2102,2102,0000100000110110,0.65803646,0.03662511,5,0.55767021
2103,2103,0000100000110111,0.73207812,0.12449898,6,0.61083313
2104,2104,0000100000111000,0.53882812,0.01040924,4,0.45872403
2105,2105,0000100000111001,0.64394270,0.01279496,5,0.54381475
2106,2106,0000100000111010,0.69669271,0.04796648,5,0.59621305
2107,2107,0000100000111011,0.76912500,0.04255781,6,0.64869942
2108,2108,0000100000111100,0.63091667,0.04534815,5,0.53046319
2109,2109,0000100000111101,0.71364583,0.12612105,6,0.59238462
